Trial no.	Method 1	Method 2	Method 3	Method 4	Method 5	Method 6	Method 7	Method 8	Real contrib
0		-0.010862	-0.017670	-0.011936	-0.010871	-0.011401	-0.009520	0.002757	-0.003392	1.000000
1		-0.027051	-0.019072	-0.027041	-0.076151	-0.051696	-0.028411	-0.087791	-0.058051	1.100000
2		0.028330	0.027638	0.027752	0.002736	0.015193	0.034905	0.004558	0.019758	1.000000
3		0.013653	0.012235	0.015477	0.102111	0.058970	0.006519	0.099172	0.052766	0.900000
0		-0.023637	-0.046036	-0.024740	-0.061787	-0.043200	-0.056159	-0.066781	-0.061467	1.073171
1		0.058842	0.053338	0.056380	0.045544	0.050980	0.074411	0.026089	0.050263	0.975610
2		-0.045341	-0.012654	-0.045217	-0.009511	-0.027425	-0.004511	0.023873	0.009673	0.975610
3		0.012499	0.009955	0.016050	0.031933	0.023964	-0.008125	0.023497	0.007678	0.975610
0		-0.018269	-0.031523	-0.018106	0.016464	-0.000845	-0.021218	0.022016	0.000387	0.975610
1		-0.014106	0.014590	-0.013413	0.009667	-0.001889	0.011729	0.025357	0.018539	0.975610
2		0.059067	0.027228	0.057760	0.027913	0.042858	0.037222	0.026499	0.031863	0.975610
3		-0.024265	-0.009359	-0.023855	-0.049131	-0.036475	-0.025212	-0.067157	-0.046173	1.073171
0		-0.008468	-0.000613	-0.006432	-0.098998	-0.052723	-0.009808	-0.069800	-0.039438	1.111111
1		-0.006939	0.009265	-0.008359	-0.124679	-0.066528	-0.005527	-0.161619	-0.082621	1.222222
2		0.040797	-0.001104	0.037260	0.124637	0.080956	0.020244	0.125353	0.072158	0.888889
3		-0.023625	-0.012422	-0.020259	0.194908	0.087342	-0.000439	0.210427	0.103708	0.777778
0		0.059832	0.035323	0.057084	0.026932	0.042022	0.035163	0.026386	0.030777	0.975610
1		-0.037387	-0.033976	-0.037294	0.011026	-0.013157	-0.022805	0.021857	-0.000485	0.975610
2		-0.039444	-0.019132	-0.038033	-0.058706	-0.048359	-0.027474	-0.067228	-0.047341	1.073171
3		0.020943	0.019698	0.022047	0.026618	0.024330	0.017862	0.025708	0.021783	0.975610
0		0.031989	0.021001	0.033172	0.201906	0.117634	0.058999	0.266536	0.162113	0.756757
1		-0.012958	-0.053556	-0.014427	-0.077087	-0.045792	-0.053110	-0.061862	-0.057459	1.081081
2		0.003155	0.026831	0.002646	-0.020626	-0.009003	0.018803	-0.063262	-0.021971	1.081081
3		-0.012590	0.012025	-0.011439	-0.043621	-0.027548	-0.006992	-0.061451	-0.034050	1.081081
