Trial no.	Method 1	Method 2	Method 3	Method 4	Method 5	Method 6	Method 7	Method 8	Self inflation
0		0.001018	0.000783	0.001063	0.004457	0.002767	0.000873	0.004674	0.002770	0.150807
1		0.000591	0.001151	0.000618	0.001545	0.001080	0.001404	0.001670	0.001537	0.218383
2		0.000607	0.000234	0.000596	0.001228	0.000912	0.000630	0.001679	0.001154	0.146185
3		0.000441	-0.001218	0.000553	0.023967	0.012262	0.001117	0.026090	0.013452	0.240571
4		0.000986	0.000478	0.000951	0.001468	0.001209	0.000687	0.001681	0.001184	0.263640
5		0.002399	0.001575	0.002488	0.015143	0.008823	0.004425	0.019990	0.012158	0.099253
6		-0.001095	0.000298	-0.000952	0.003660	0.001339	0.000530	0.004536	0.002529	0.192564
7		0.000112	0.007145	0.000517	0.067989	0.032397	0.024164	0.140778	0.079728	0.098314
8		-0.000950	-0.001266	-0.000973	0.005417	0.002205	-0.000134	0.005953	0.002899	0.286442
9		0.001331	-0.002372	0.001254	0.008042	0.004703	0.000110	0.016719	0.008347	0.172651
10		-0.001889	-0.001755	-0.001750	0.001919	0.000085	-0.002096	0.001415	-0.000348	0.206321
11		0.000104	-0.000818	0.000039	0.001911	0.000973	-0.000393	0.001850	0.000727	0.260729
12		-0.000900	0.000300	-0.000813	0.001431	0.000302	0.000498	0.001666	0.001082	0.196716
13		0.001033	0.000795	0.001030	0.002688	0.001858	0.001172	0.002698	0.001935	0.315887
14		-0.000769	0.000477	-0.000628	0.005226	0.002265	0.001316	0.006083	0.003695	0.245205
15		-0.000227	-0.002549	-0.000247	0.009459	0.004643	-0.001381	0.009866	0.004204	0.266006
16		0.001420	0.000866	0.001402	0.002524	0.001964	0.001034	0.002500	0.001766	0.222787
17		-0.004523	-0.003545	-0.004465	0.005137	0.000276	-0.001758	0.005835	0.002021	0.231258
18		-0.000270	-0.000022	-0.000266	0.001435	0.000581	0.000390	0.001944	0.001166	0.282280
19		-0.001570	-0.001809	-0.001577	0.006326	0.002346	-0.000180	0.007768	0.003777	0.174109
20		0.000891	0.000060	0.000874	0.020163	0.010499	0.002648	0.018057	0.010300	0.172805
